tahun;kd_desa;fitur_1;fitur_2;fitur_3;fitur_4;fitur_5;fitur_6;idm
2023;1901012007;71381000;366770717;30001563;190057916;261623000;92600000;0.8095
2023;1901022004;0;546340700;14336000;140413000;230400000;65550000;0.8413
2023;1901022005;0;415880000;0;8960000;252000000;0;0.8133
2023;1901022006;18478000;743169000;0;124499000;140400000;0;0.8137
2023;1901022007;28575000;450432000;73997486;117100000;183600000;0;0.806
2023;1901022008;19800000;275014850;0;187631600;208800000;0;0.7852
2023;1901032001;62828400;117950500;0;153931850;235364000;249345750;0.8884
2023;1901032002;4300000;382311000;0;179330000;234000000;75000000;0.8675
2023;1901032003;23822900;336933000;0;380492500;122400000;65000000;0.8216
2023;1901032004;15864000;283127000;0;248316000;187200000;0;0.8152
2023;1901032005;32812750;302299500;81260000;213892200;180000000;0;0.8714
2023;1901032006;13085000;474568257;0;131268421;226800000;16000000;0.8697
2023;1901032007;5144000;463789200;45675000;117831360;165600000;0;0.8021
2023;1901032008;4781000;410938178;0;70700000;180000000;0;0.8133
2023;1901032009;6574000;240337683;0;257761533;108000000;50000000;0.8149
2023;1901032010;27518000;617817000;0;196530000;97200000;12000000;0.8116
2023;1901042001;40294250;500710450;0;227912000;115200000;205000000;0.8613
2023;1901042002;5800000;658695000;0;8960000;180000000;0;0.8086
2023;1901042003;27870000;597582100;0;176940000;260088000;0;0.7854
2023;1901042004;23161500;474891500;0;152002000;226800000;0;0.7873
2023;1901042005;49000000;377379000;0;410035000;198000000;0;0.8038
2023;1901042006;71046000;370332500;39200000;422000000;252000000;0;0.8543
2023;1901042007;77484000;537710000;18475000;285576000;165600000;60000000;0.8465
2023;1901042008;72643000;227212400;162763500;251071250;230400000;200000000;0.8633
2023;1901042009;20870000;247240000;0;320225000;147600000;110000000;0.8244
2023;1901042010;25400000;397831000;1200000;9200000;180000000;0;0.7911
2023;1901042011;37594300;486605000;0;40407500;180000000;0;0.7708
2023;1901042012;16693000;431714787;0;135370000;144000000;150000000;0.7949
2023;1901042013;6000000;134932500;0;379645000;126000000;0;0.7981
2023;1901042014;44472410;467486950;31222200;269813500;144000000;154000000;0.8671
2023;1901042015;32084000;342124000;0;283317500;162000000;0;0.8324
2023;1901052001;36479000;642856200;17645000;225505500;230400000;0;0.8506
2023;1901052002;56467200;206985000;0;159960000;198000000;175000000;0.8189
2023;1901052003;36887000;465083000;0;179739500;216000000;0;0.8395
2023;1901052004;35591000;506216320;0;149798675;216154000;72342428;0.8376
2023;1901052005;100605500;552254450;0;293071000;309072700;0;0.8773
2023;1901052006;50538000;182046750;0;230880000;190800000;0;0.8586
2023;1901062001;26286000;231960556;0;283504000;275836500;60000000;0.8451
2023;1901062002;18437400;426795500;0;107983000;97200000;150000000;0.7968
2023;1901062003;29714000;543431250;43270000;234249000;154800000;0;0.7965
2023;1901062004;14982000;673804000;0;183535000;97200000;0;0.8063
2023;1901062005;19409000;447882000;0;180101500;108000000;0;0.7932
2023;1901062006;11728000;238968500;0;272220000;177900000;0;0.7932
2023;1901062007;20543500;502365347;0;212498986;234000000;0;0.7875
2023;1901062008;49474000;472396855;0;169172625;176400000;0;0.829
2023;1901062009;13089000;149681500;91755000;201293000;121500000;0;0.8044
2023;1901072001;49011500;356440500;0;126258000;205200000;0;0.8598
2023;1901072002;22420000;341277283;0;225955000;234000000;100000000;0.8005
2023;1901072003;11500000;418563000;0;108795000;271000000;12500000;0.8194
2023;1901072004;40130000;418110140;0;151920000;248400000;0;0.8043
2023;1901072005;0;487661000;0;251495500;140645000;0;0.8192
2023;1901072006;0;527257000;0;289682500;145754000;11165000;0.8081
2023;1901072007;41170000;698616500;0;105320000;291600000;0;0.7913
2023;1901072008;45269000;385742750;31350000;82012000;197416250;102000000;0.801
2023;1901072009;18773000;395690530;0;13810000;180000000;98150000;0.8006
2023;1901082001;1200000;779130500;0;191306500;115048000;0;0.9032
